"ANO";"Regiao";"SIGLA";"UF";"Dependencia_Administrativa";"Localizacao";"Situacao_Funcionamento";"Fundamental_Nº_Matriculas";"Fundamental_Nº_Turmas";"Fundamental_Nº_Docentes";"Fundamental_Nº_Aprovados";"Fundamental_Nº_Reprovados";"Fundamental_Nº_Abandonos";"Medio_Nº_Matriculas";"Medio_Nº_Turmas";"Medio_Nº_Docentes";"Medio_Nº_Aprovados";"Medio_Nº_Reprovados";"Medio_Nº_Abandonos";"Nº_Escolas"
1996;"Sudeste";"ES";"Espírito Santo";"Estadual";"Rural";"Paralisada";0;0;1260;0;0;0;0;0;156;0;0;0;43
1996;"Sudeste";"ES";"Espírito Santo";"Estadual";"Urbana";"Em Atividade";321326;10289;1260;216898;50601;37783;84305;2301;156;52081;6755;16940;620
1996;"Sudeste";"ES";"Espírito Santo";"Estadual";"Urbana";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;1
1996;"Sudeste";"ES";"Espírito Santo";"Estadual";"Urbana";"Paralisada";0;0;1260;0;0;0;0;0;156;0;0;0;2
1996;"Sudeste";"ES";"Espírito Santo";"Federal";"Rural";"Em Atividade";0;0;1260;0;0;0;1149;33;156;909;90;59;3
1996;"Sudeste";"ES";"Espírito Santo";"Federal";"Urbana";"Em Atividade";393;16;1260;372;20;0;4070;110;156;3085;479;355;3
1996;"Sudeste";"ES";"Espírito Santo";"Federal";"Urbana";"Paralisada";0;0;1260;0;0;0;0;0;156;0;0;0;1
1996;"Sudeste";"ES";"Espírito Santo";"Municipal";"Rural";"Em Atividade";18426;345;1260;13304;2886;1662;0;0;156;0;0;0;664
1996;"Sudeste";"ES";"Espírito Santo";"Municipal";"Rural";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;1
1996;"Sudeste";"ES";"Espírito Santo";"Municipal";"Rural";"Paralisada";0;0;1260;4;0;0;0;0;156;0;0;0;20
1996;"Sudeste";"ES";"Espírito Santo";"Municipal";"Urbana";"Em Atividade";116081;3846;1260;84406;17197;9924;8786;242;156;5740;923;1789;254
1996;"Sudeste";"ES";"Espírito Santo";"Municipal";"Urbana";"Paralisada";0;0;1260;0;0;0;0;0;156;0;0;0;1
1996;"Sudeste";"ES";"Espírito Santo";"Privada";"Rural";"Em Atividade";1613;70;1260;1279;99;77;819;28;156;678;23;14;22
1996;"Sudeste";"ES";"Espírito Santo";"Privada";"Urbana";"Em Atividade";76372;2941;1260;67734;4186;1036;26986;705;156;20193;2397;1661;324
1996;"Sudeste";"ES";"Espírito Santo";"Privada";"Urbana";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;5
1996;"Centro Oeste";"GO";"Goiás";"Estadual";"Rural";"Em Atividade";19422;736;1260;11555;2214;2441;443;22;156;279;4;56;126
1996;"Centro Oeste";"GO";"Goiás";"Estadual";"Rural";"Paralisada";0;0;1260;9;6;3;0;0;156;0;0;0;7
1996;"Centro Oeste";"GO";"Goiás";"Estadual";"Urbana";"Em Atividade";628635;16499;1260;375033;81806;82732;139495;3401;156;74930;12088;24718;1156
1996;"Centro Oeste";"GO";"Goiás";"Estadual";"Urbana";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;5
1996;"Centro Oeste";"GO";"Goiás";"Federal";"Rural";"Em Atividade";0;0;1260;0;0;0;515;18;156;362;2;24;1
1996;"Centro Oeste";"GO";"Goiás";"Federal";"Urbana";"Em Atividade";494;18;1260;434;66;5;3425;107;156;2375;545;375;4
1996;"Centro Oeste";"GO";"Goiás";"Municipal";"Rural";"Em Atividade";69213;1277;1260;43968;10985;8487;28;3;156;24;0;3;3011
1996;"Centro Oeste";"GO";"Goiás";"Municipal";"Rural";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;10
1996;"Centro Oeste";"GO";"Goiás";"Municipal";"Rural";"Paralisada";0;0;1260;355;56;71;0;0;156;0;0;0;65
1996;"Centro Oeste";"GO";"Goiás";"Municipal";"Urbana";"Em Atividade";237685;7136;1260;145163;33806;25913;3732;129;156;2414;198;644;680
